80010000 rdata
8007FA04 data
8008bec4 sdata_static
8008c5c0 bss

// only in jpn builds
800124c8 ANTICHIP_GetConsoleRegion
80012534 ANTICHIP_CheckFraud_Entry
80012e6c ANTICHIP_CheckFraud_CdromRegs1
80013040 ANTICHIP_CheckFraud_CdromRegs2
80013130 ANTICHIP_TerminateGame
8001329c ANTICHIP_DrawFrame
80013410 ANTICHIP_DrawCharacter
800135c4 ANTICHIP_GetStringPixelLength
80013658 ANTICHIP_DrawRedIcon

// start of BOTS
800137e8 BOTS_SetGlobalNavData
80013848 BOTS_InitNavPath
80013968 BOTS_EmptyFunc
80013970 BOTS_Adv_NumTimesLostEvent
800139a0 BOTS_Adv_AdjustDifficulty
800147c8 BOTS_UpdateGlobals
80014898 BOTS_SetRotation
80014a34 BOTS_LevInstColl
80014b88 BOTS_ThTick_RevEngine
80014c94 BOTS_MaskGrab
80014ecc BOTS_Killplane
80015074 BOTS_ThTick_Drive
80017f50 BOTS_ChangeState
80018318 BOTS_CollideWithOtherAI
8001847c BOTS_GotoStartingLine
800185b4 BOTS_Driver_Init
80018768 BOTS_Driver_Convert

// start of CAM
80018a1c CAM_SkyboxGlow
80019a6c CAM_ClearScreen
80019c68 CAM_Init
80019cf8 CAM_FindClosestQuadblock
80019f68 CAM_Path_GetNumPoints
80019ff0 CAM_Path_Move
8001a170 CAM_StartOfRace
8001a1ec CAM_EndOfRace_Battle
8001a288 CAM_EndOfRace
8001a310 CAM_StartLine_FlyIn_FixY
8001a43c CAM_ProcessTransition
8001a578 CAM_FollowDriver_AngleAxis
8001a918 CAM_StartLine_FlyIn
8001ad48 CAM_FollowDriver_TrackPath
8001b2cc CAM_LookAtPosition
8001b3a8 CAM_FollowDriver_Spin360
8001B4A4 CAM_SetDesiredPosRot
8001b50c CAM_FollowDriver_Normal
8001c6a4 CAM_MapRange_PosPoints
8001c784 CAM_ThTick

// start of CDSYS
8001d7b0 CDSYS_Init
8001d870 CDSYS_GetFilePosInt
8001d8c0 CDSYS_SetMode_StreamData
8001d944 CDSYS_SetMode_StreamAudio
8001d9bc CDSYS_SetXAToLang			// real ND name
8001dbf4 CDSYS_XaCallbackCdSync
8001dc4c CDSYS_XaCallbackCdReady
8001dd34 CDSYS_SpuCallbackIRQ
8001ddd4 CDSYS_SpuCallbackTransfer
8001de34 CDSYS_SpuEnableIRQ
8001deb4 CDSYS_SpuDisableIRQ
8001dee8 CDSYS_SpuGetMaxSample
8001e030 CDSYS_XAGetNumTracks
8001e068 CDSYS_XASeek				// real ND name
8001e170 CDSYS_XAGetTrackLength
8001e204 CDSYS_XAPlay				// real ND name
8001e3e8 CDSYS_XAPauseRequest
8001e43c CDSYS_XAPauseForce
8001e4bc CDSYS_XAPauseAtEnd

8001e4e4 COLL_LevModelMeta
8001e514 COLL_Instance
8001ea60 COLL_PerBspLeaf_CheckInstances
8001ebcc COLL_StartSearch_AI
8001ed94 COLL_StartSearch_Player
8001ff5c COLL_SearchTree_FindQuadblock_Touching
8002003c COLL_SearchTree_FindX

// unknown 80020234
// unknown 8002036c
// unknown 800203a0
// 203c4 is not a real function
// unknown 8002072c

8002086c COLL_PerQuadblock_CheckTriangles_Touching
80020a40 COLL_PerBspLeaf_CheckQuadblocks_Touching

// unknown 80020acc
// unknown 80020b40
// unknown 80020c40
// unknown 80020d78
// unknown 80020fdc
// unknown 80021024
// unknown 80021060
// unknown 80021090

800214b4 COLL_PerQuadblock_CheckTriangles_NearPlayer
800216f8 COLL_PerBspLeaf_CheckQuadblocks_NearPlayer

// unknown 80021784
// unknown 80021860

800220a8 COLL_Scrub

80022950 CTR_Box_DrawWirePrims
800229e4 CTR_Box_DrawWireBox
80022bcc CTR_Box_DrawClearBox
80022ce4 CTR_Box_DrawSolidBox
80022dd4 CTR_CycleTex_LEV
80022e70 CTR_CycleTex_Model
80022f10 CTR_CycleTex_AllModels
80022fe4 CTR_CycleTex_2p3p4pWumpaHUD
8002300c CTR_ClearRenderLists_1P2P
8002307c CTR_ClearRenderLists_3P4P
800230dc CTR_EmptyFunc_MainFrame_ResetDB
800230e4 CTR_ErrorScreen

// CTR_Frustum_UpdateVisMem
// unknown 80023254
// unknown 800232e0
// unknown 800232f8

8002332c CTR_MatrixToRot
// No CTR_ScrambleGhostString in 1006

80023684 DebugFont_Init
800236bc DebugFont_DrawNumbers

80023798 DecalFont_GetLineWidthStrlen
80023888 DecalFont_GetLineWidth
800238b4 DecalFont_SetJfontDimensions // only appears in japanese builds
80023994 DecalFont_DrawLineStrlen
80023f44 DecalFont_DrawLine
80023f90 DecalFont_DrawLineOT
80023ffc DecalFont_DrawMultiLineStrlen
80024210 DecalFont_DrawMultiLine

80024270 DecalGlobal_EmptyFunc_MainFrame_ResetDB
80024278 DecalGlobal_Clear
800242b8 DecalGlobal_Store
80024364 DecalGlobal_FindInLEV
80024408 DecalGlobal_FindInMPK

8002448c DecalHUD_DrawPolyFT4
800245a0 DecalHUD_DrawWeapon
80024730 DecalHUD_DrawPolyGT4
8002486c DecalHUD_Arrow2D

// responsible for multiplayer pixel-level LOD, how does it work?
// disabling this removes pixelation, does NOT impact geometric LOD
80024b64 DecalMP_01
80024d1c DecalMP_02
80024e60 DecalMP_03

80023a40 DISPLAY_Blur_SubFunc
80023d4c DISPLAY_Blur_Main
// in 903+926+1006, removed in 1020+1111
80023ffc DISPLAY_Swap

80025748 DotLights_Video
80025994 DotLights_AudioAndVideo

80025b40 DropRain_MakeSound
80025bf8 DropRain_Reset

80025c00 ElimBG_SaveScreenshot_Chunk
80025c78 ElimBG_SaveScreenshot_Full
80025ef8 ElimBG_Activate
80025f1c ElimBG_ToggleInstance
80025f98 ElimBG_ToggleAllInstances
80026050 ElimBG_HandleState
800262e4 ElimBG_Deactivate

// Does not exist prior to 926
80026328 FLARE_ThTick
80026814 FLARE_Init

80026888 GAMEPAD_Init
800268e8 GAMEPAD_SetMainMode
80026980 GAMEPAD_ProcessState
80026af0 GAMEPAD_PollVsync
80026c94 GAMEPAD_GetNumConnected
// extra appears here in Sep3
80026df8 GAMEPAD_ProcessHold
80026f34 GAMEPAD_ProcessSticks
8002733c GAMEPAD_ProcessTapRelease
80027444 GAMEPAD_ProcessMotors
800277c8 GAMEPAD_ProcessAnyoneVars

80027898 GAMEPAD_JogCon1
800278f4 GAMEPAD_JogCon2
80027938 GAMEPAD_ShockFreq
800279b8 GAMEPAD_ShockForce1
80027a38 GAMEPAD_ShockForce2

80027ab8 GAMEPROG_AdvPercent
80027d94 GAMEPROG_ResetHighScores
80028084 GAMEPROG_CheckGhostsBeaten

80028190 GAMEPROG_NewProfile_OutsideAdv
800281c4 GAMEPROG_InitFullMemcard
80028258 GAMEPROG_NewProfile_InsideAdv

// No CupProgress in 1006
80028294 GAMEPROG_SyncGameAndCard

80028360 GAMEPROG_NewGame_OnBoot
80028398 GAMEPROG_GetPtrHighScoreTrack

800283f0 GhostReplay_ThTick
80028d50 GhostReplay_Init1
800290a0 GhostReplay_Init2
8002930c GhostTape_Start
80027e90 GhostTape_End
800293a8 GhostTape_WriteMoves
800298a4 GhostTape_WriteBoosts
80029928 GhostTape_Destroy

// === Everything below "Ghost" is "Howl"

80029954 CountSounds

// all SFXs except engine
80029980 OtherFX_Play
800299ac OtherFX_Play_Echo
800299e8 OtherFX_Play_LowLevel
80029ba8 OtherFX_Modify
80029d20 OtherFX_Stop1
80029d5c OtherFX_Stop2

80029d98 EngineAudio_InitOnce
80029ec8 EngineAudio_Recalculate
8002a06c EngineAudio_Stop

8002a0d4 SetReverbMode

8002a190 CseqMusic_Start
8002a27c CseqMusic_Pause
8002a2f8 CseqMusic_Resume
8002a374 CseqMusic_ChangeVolume
8002a44c CseqMusic_Restart
8002a520 CseqMusic_ChangeTempo
8002a5e4 CseqMusic_AdvHubSwap
8002a6b8 CseqMusic_Stop
8002a770 CseqMusic_StopAll

// official name might be "SampleBlock"
8002a7f8 Bank_ResetAllocator
8002a814 Bank_Alloc
8002a8d0 Bank_AssignSpuAddrs
8002abdc Bank_Destroy
8002ac48 Bank_ClearInRange
8002acb8 Bank_Load
8002ad3c Bank_DestroyLast
8002ad88 Bank_DestroyUntilIndex
8002adfc Bank_DestroyAll

8002ae34 howl_InstrumentPitch
8002aea0 howl_InitGlobals
8002af68 howl_ParseHeader
8002afcc howl_ParseCseqHeader
8002b044 howl_LoadHeader
